,DT,LGBM,XGB,CAT,Soft Voting
Accuracy,0.94797,0.94252,0.94200,0.93094,0.94823
Recall,0.94797,0.94252,0.94200,0.93094,0.94823
Precision,0.94870,0.94280,0.94231,0.93128,0.94860
F1-Score,0.94811,0.94249,0.94202,0.93090,0.94824
AUC,0.98777,0.99713,0.99706,0.99575,0.99750
