,DT,LGBM,XGB,CAT,Soft Voting
Accuracy,0.94387,0.93655,0.94242,0.93208,0.94756
Recall,0.94387,0.93655,0.94242,0.93208,0.94756
Precision,0.94763,0.93987,0.94357,0.93412,0.94967
F1-Score,0.94483,0.93720,0.94258,0.93240,0.94792
AUC,0.98961,0.99668,0.99715,0.99591,0.99740
