,DT,LGBM,XGB,CAT,Soft Voting
Accuracy,0.93608,0.93271,0.93265,0.91941,0.94133
Recall,0.93608,0.93271,0.93265,0.91941,0.94133
Precision,0.93842,0.93362,0.93403,0.91957,0.94208
F1-Score,0.93683,0.93298,0.93309,0.91943,0.94157
AUC,0.98906,0.99616,0.99536,0.99426,0.99677
