,DT,LGBM,XGB,CAT,Soft Voting
Accuracy,0.94595,0.94236,0.94138,0.92829,0.94776
Recall,0.94595,0.94236,0.94138,0.92829,0.94776
Precision,0.94611,0.94263,0.94175,0.92822,0.94809
F1-Score,0.94590,0.94222,0.94124,0.92803,0.94769
AUC,0.98401,0.99715,0.99706,0.99577,0.99742
