,DT,LGBM,XGB,CAT,Soft Voting
Accuracy,0.93738,0.93504,0.93188,0.91910,0.94107
Recall,0.93738,0.93504,0.93188,0.91910,0.94107
Precision,0.93974,0.93542,0.93333,0.91927,0.94178
F1-Score,0.93818,0.93514,0.93233,0.91912,0.94128
AUC,0.99107,0.99635,0.99502,0.99426,0.99682
