,DT,LGBM,XGB,CAT,Soft Voting
Accuracy,0.94164,0.93603,0.93805,0.91739,0.94449
Recall,0.94164,0.93603,0.93805,0.91739,0.94449
Precision,0.94473,0.93704,0.93885,0.91767,0.94541
F1-Score,0.94248,0.93622,0.93825,0.91741,0.94469
AUC,0.99040,0.99680,0.99698,0.99427,0.99730
