,DT,LGBM,XGB,CAT,Soft Voting
Accuracy,0.94371,0.93774,0.93987,0.92450,0.94512
Recall,0.94371,0.93774,0.93987,0.92450,0.94512
Precision,0.94789,0.93944,0.94091,0.92588,0.94685
F1-Score,0.94485,0.93808,0.94010,0.92474,0.94551
AUC,0.98984,0.99695,0.99696,0.99524,0.99736
