iter	Passed	Remaining
153	2212	12156
154	2226	12135
155	2244	12144
156	2259	12129
157	2273	12114
158	2291	12120
159	2305	12104
160	2319	12086
161	2334	12074
162	2347	12053
163	2367	12068
164	2380	12047
165	2393	12027
166	2406	12005
167	2420	11988
168	2435	11974
169	2448	11956
170	2462	11937
171	2476	11919
172	2489	11901
173	2503	11882
174	2523	11894
175	2536	11875
176	2550	11859
177	2565	11847
178	2580	11836
179	2594	11817
180	2607	11800
181	2621	11781
182	2634	11761
183	2651	11758
184	2665	11743
185	2679	11725
186	2692	11707
187	2705	11686
188	2719	11669
189	2732	11650
190	2746	11632
191	2759	11614
192	2773	11595
193	2786	11578
194	2800	11562
195	2814	11543
196	2828	11527
197	2841	11510
198	2855	11492
199	2869	11476
200	2882	11458
201	2896	11440
202	2910	11425
203	2924	11409
204	2937	11390
205	2950	11373
206	2966	11362
207	2979	11344
208	2999	11353
209	3013	11336
210	3026	11318
211	3040	11301
212	3054	11287
213	3072	11286
214	3089	11279
215	3103	11265
216	3118	11253
217	3133	11239
218	3147	11226
219	3161	11208
220	3176	11195
221	3189	11179
222	3203	11163
223	3219	11152
224	3232	11135
225	3246	11119
226	3260	11104
227	3275	11091
228	3289	11075
229	3302	11056
230	3316	11040
231	3330	11024
232	3344	11008
233	3359	10996
234	3372	10978
235	3387	10965
236	3401	10950
237	3415	10935
238	3430	10921
239	3449	10922
240	3463	10908
241	3477	10891
242	3496	10893
243	3518	10902
244	3532	10884
245	3546	10869
246	3559	10851
247	3572	10833
248	3585	10815
249	3600	10800
250	3613	10784
251	3628	10769
252	3641	10752
253	3657	10740
254	3670	10722
255	3683	10705
256	3696	10687
257	3710	10670
258	3728	10666
259	3741	10650
260	3755	10634
261	3769	10619
262	3783	10603
263	3798	10590
264	3811	10572
265	3827	10560
266	3840	10542
267	3853	10525
268	3866	10507
269	3880	10490
270	3897	10483
271	3911	10468
272	3924	10452
273	3938	10435
274	3951	10418
275	3964	10400
276	3977	10382
277	3991	10366
278	4004	10349
279	4018	10333
280	4032	10317
281	4045	10300
282	4066	10301
283	4079	10285
284	4092	10267
285	4106	10252
286	4119	10235
287	4141	10237
288	4154	10220
289	4168	10204
290	4181	10188
291	4196	10175
292	4210	10159
293	4225	10145
294	4238	10129
295	4251	10112
296	4265	10096
297	4277	10077
298	4291	10061
299	4312	10062
300	4326	10046
301	4346	10046
302	4360	10031
303	4373	10013
304	4386	9995
305	4399	9978
306	4414	9964
307	4429	9951
308	4443	9937
309	4458	9923
310	4472	9907
311	4485	9890
312	4501	9879
313	4515	9865
314	4530	9852
315	4543	9835
316	4556	9818
317	4570	9802
318	4585	9789
319	4600	9776
320	4615	9762
321	4629	9748
322	4643	9733
323	4658	9718
324	4671	9702
325	4685	9686
326	4698	9670
327	4714	9658
328	4729	9645
329	4742	9628
330	4755	9611
331	4769	9597
332	4784	9583
333	4797	9566
334	4811	9550
335	4824	9534
336	4837	9517
337	4859	9517
338	4873	9502
339	4887	9487
340	4908	9485
341	4922	9470
342	4936	9454
343	4949	9438
344	4962	9421
345	4975	9405
346	4989	9388
347	5003	9374
348	5023	9370
349	5038	9356
350	5052	9341
351	5065	9325
352	5078	9308
353	5092	9292
354	5105	9276
355	5125	9271
356	5138	9254
357	5151	9239
358	5165	9222
359	5178	9206
360	5192	9190
361	5205	9174
362	5219	9158
363	5233	9143
364	5247	9128
365	5261	9113
366	5274	9097
367	5288	9081
368	5301	9065
369	5320	9060
370	5341	9056
371	5355	9040
372	5374	9034
373	5390	9021
374	5403	9006
375	5417	8990
376	5431	8975
377	5451	8970
378	5464	8954
379	5478	8938
380	5491	8922
381	5504	8905
382	5517	8888
383	5536	8881
384	5549	8864
385	5563	8849
386	5576	8833
387	5590	8817
388	5603	8801
389	5617	8786
390	5630	8770
391	5644	8754
392	5657	8738
393	5671	8722
394	5684	8706
395	5698	8691
396	5712	8676
397	5725	8659
398	5738	8643
399	5751	8627
400	5765	8611
401	5779	8597
402	5792	8581
403	5806	8565
404	5821	8552
405	5834	8536
406	5847	8520
407	5860	8504
408	5874	8488
409	5891	8477
410	5904	8461
411	5918	8447
412	5932	8432
413	5951	8424
414	5964	8408
415	5982	8398
416	5998	8386
417	6012	8371
418	6028	8359
419	6046	8350
420	6063	8339
421	6077	8323
422	6091	8308
423	6104	8293
424	6118	8278
425	6132	8262
426	6147	8249
427	6160	8233
428	6173	8217
429	6186	8201
430	6200	8185
431	6213	8169
432	6227	8154
433	6242	8140
434	6255	8124
435	6268	8109
436	6289	8103
437	6302	8087
438	6316	8071
439	6330	8056
440	6343	8040
441	6357	8026
442	6373	8013
443	6387	7999
444	6401	7983
445	6415	7968
446	6430	7955
447	6444	7940
448	6457	7924
449	6472	7911
450	6494	7905
451	6509	7891
452	6523	7877
453	6537	7861
454	6550	7845
455	6563	7829
456	6584	7823
457	6597	7807
458	6620	7802
459	6634	7788
460	6648	7772
461	6661	7757
462	6675	7741
463	6688	7726
464	6701	7710
465	6715	7695
466	6729	7680
467	6743	7665
468	6757	7650
469	6770	7634
470	6783	7618
471	6796	7602
472	6810	7588
473	6824	7573
474	6839	7558
475	6855	7547
476	6874	7536
477	6887	7521
478	6901	7507
479	6916	7492
480	6929	7477
481	6943	7462
482	6963	7453
483	6976	7437
484	6990	7423
485	7003	7407
486	7017	7391
487	7031	7376
488	7044	7361
489	7057	7345
490	7071	7330
491	7084	7314
492	7097	7298
493	7110	7283
494	7123	7267
495	7136	7251
496	7149	7236
497	7163	7220
498	7176	7205
499	7197	7197
500	7211	7182
501	7224	7166
502	7238	7151
503	7251	7135
504	7264	7120
505	7277	7104
506	7290	7089
507	7304	7074
508	7317	7059
509	7331	7043
510	7344	7028
511	7357	7012
512	7372	6998
513	7386	6983
514	7401	6970
515	7415	6955
516	7429	6941
517	7444	6927
518	7459	6913
519	7472	6897
520	7485	6882
521	7499	6867
522	7512	6851
523	7525	6836
524	7541	6822
525	7554	6807
526	7567	6792
527	7581	6777
528	7595	6762
529	7608	6746
530	7621	6731
531	7635	6716
532	7652	6705
533	7665	6689
534	7678	6674
535	7692	6659
536	7706	6644
537	7719	6628
538	7731	6613
539	7746	6598
540	7761	6584
541	7776	6570
542	7789	6555
543	7802	6540
544	7816	6525
545	7829	6510
546	7842	6494
547	7856	6479
548	7869	6464
549	7887	6453
550	7902	6439
551	7917	6425
552	7930	6410
553	7944	6395
554	7957	6380
555	7970	6365
556	7983	6349
557	7997	6334
558	8011	6320
559	8024	6304
560	8037	6289
561	8051	6275
562	8065	6260
563	8078	6244
564	8099	6235
565	8112	6220
566	8125	6204
567	8138	6189
568	8151	6174
569	8165	6159
570	8178	6144
571	8192	6130
572	8206	6115
573	8219	6100
574	8232	6084
575	8245	6069
576	8265	6059
577	8278	6044
578	8293	6030
579	8308	6016
580	8322	6002
581	8336	5987
582	8350	5972
583	8363	5957
584	8376	5942
585	8391	5928
586	8406	5914
587	8419	5899
588	8434	5885
589	8448	5870
590	8462	5856
591	8475	5841
592	8489	5826
593	8502	5811
594	8516	5797
595	8532	5783
596	8556	5776
597	8569	5761
598	8583	5745
599	8596	5731
600	8609	5715
601	8629	5705
602	8643	5690
603	8656	5675
604	8669	5660
605	8683	5645
606	8697	5631
607	8710	5616
608	8724	5601
609	8739	5587
610	8753	5572
611	8767	5558
612	8780	5543
613	8794	5528
614	8808	5514
615	8823	5500
616	8837	5486
617	8856	5474
618	8869	5459
619	8883	5444
620	8896	5429
621	8910	5414
622	8923	5400
623	8937	5385
624	8952	5371
625	8965	5356
626	8978	5341
627	8993	5327
628	9007	5312
629	9022	5298
630	9036	5284
631	9055	5272
632	9070	5258
633	9083	5244
634	9097	5229
635	9112	5215
636	9126	5200
637	9140	5186
638	9153	5171
639	9168	5157
640	9181	5142
641	9196	5128
642	9210	5113
643	9230	5102
644	9245	5088
645	9259	5074
646	9275	5060
647	9290	5046
648	9305	5032
649	9326	5021
650	9339	5006
651	9352	4991
652	9365	4976
653	9379	4961
654	9393	4947
655	9407	4933
656	9421	4918
657	9434	4903
658	9449	4889
659	9464	4875
660	9486	4865
661	9500	4850
662	9513	4835
663	9528	4821
664	9541	4806
665	9555	4791
666	9568	4777
667	9582	4762
668	9595	4747
669	9611	4734
670	9625	4719
671	9639	4705
672	9653	4690
673	9666	4675
674	9680	4660
675	9694	4646
676	9708	4632
677	9722	4617
678	9735	4602
679	9749	4587
680	9763	4573
681	9777	4558
682	9790	4543
683	9803	4529
684	9818	4515
685	9838	4503
686	9852	4488
687	9865	4473
688	9878	4458
689	9891	4444
690	9905	4429
691	9918	4414
692	9933	4400
693	9948	4386
694	9961	4371
695	9976	4357
696	9989	4342
697	10003	4327
698	10016	4313
699	10030	4298
700	10049	4286
701	10062	4271
702	10077	4257
703	10092	4243
704	10105	4228
705	10119	4214
706	10134	4200
707	10148	4185
708	10161	4170
709	10175	4156
710	10190	4141
711	10203	4127
712	10217	4112
713	10230	4097
714	10244	4083
715	10259	4069
716	10274	4055
717	10287	4040
718	10308	4028
719	10321	4014
720	10335	3999
721	10348	3984
722	10362	3970
723	10375	3955
724	10388	3940
725	10402	3925
726	10417	3911
727	10430	3897
728	10444	3882
729	10459	3868
730	10473	3854
731	10486	3839
732	10499	3824
733	10513	3810
734	10529	3796
735	10553	3785
736	10568	3771
737	10583	3757
738	10597	3742
739	10611	3728
740	10624	3713
741	10638	3698
742	10652	3684
743	10665	3669
744	10679	3655
745	10693	3641
746	10707	3626
747	10720	3611
748	10734	3597
749	10747	3582
750	10760	3567
751	10775	3553
752	10790	3539
753	10805	3525
754	10819	3511
755	10835	3497
756	10859	3485
757	10876	3472
758	10889	3457
759	10902	3443
760	10916	3428
761	10930	3414
762	10955	3402
763	10968	3388
764	10981	3373
765	10994	3358
766	11007	3343
767	11022	3329
768	11035	3315
769	11050	3300
770	11065	3286
771	11078	3271
772	11093	3257
773	11112	3244
774	11127	3230
775	11140	3215
776	11153	3201
777	11167	3186
778	11181	3172
779	11195	3157
780	11208	3142
781	11221	3128
782	11238	3114
783	11252	3100
784	11266	3085
785	11279	3071
786	11292	3056
787	11306	3041
788	11319	3027
789	11333	3012
790	11346	2998
791	11359	2983
792	11373	2968
793	11387	2954
794	11400	2939
795	11414	2925
796	11430	2911
797	11443	2896
798	11457	2882
799	11470	2867
800	11483	2852
801	11497	2838
802	11514	2824
803	11532	2811
804	11546	2796
805	11560	2782
806	11574	2768
807	11588	2753
808	11601	2739
809	11614	2724
810	11629	2710
811	11644	2696
812	11659	2681
813	11673	2667
814	11686	2652
815	11699	2638
816	11713	2623
817	11727	2609
818	11740	2594
819	11753	2580
820	11767	2565
821	11781	2551
822	11801	2538
823	11814	2523
824	11827	2508
825	11841	2494
826	11855	2480
827	11869	2465
828	11882	2451
829	11895	2436
830	11910	2422
831	11924	2407
832	11937	2393
833	11951	2378
834	11965	2364
835	11979	2349
836	11993	2335
837	12006	2321
838	12020	2306
839	12033	2292
840	12047	2277
841	12060	2263
842	12073	2248
843	12086	2234
844	12100	2219
845	12113	2205
846	12127	2190
847	12141	2176
848	12155	2162
849	12170	2147
850	12184	2133
851	12197	2118
852	12210	2104
853	12224	2089
854	12244	2076
855	12256	2061
856	12269	2047
857	12283	2032
858	12296	2018
859	12309	2003
860	12323	1989
861	12341	1975
862	12357	1961
863	12370	1947
864	12384	1932
865	12397	1918
866	12410	1903
867	12424	1889
868	12439	1875
869	12453	1860
870	12467	1846
871	12480	1832
872	12498	1818
873	12513	1804
874	12527	1789
875	12544	1775
876	12558	1761
877	12572	1746
878	12585	1732
879	12599	1718
880	12612	1703
881	12625	1689
882	12638	1674
883	12654	1660
884	12668	1646
885	12682	1631
886	12695	1617
887	12708	1602
888	12721	1588
889	12742	1574
890	12756	1560
891	12770	1546
892	12783	1531
893	12797	1517
894	12810	1502
895	12823	1488
896	12837	1474
897	12850	1459
898	12863	1445
899	12878	1430
900	12891	1416
901	12904	1402
902	12918	1387
903	12932	1373
904	12946	1359
905	12959	1344
906	12977	1330
907	12991	1316
908	13005	1301
909	13020	1287
910	13033	1273
911	13048	1259
912	13061	1244
913	13074	1230
914	13088	1215
915	13102	1201
916	13116	1187
917	13130	1172
918	13143	1158
919	13157	1144
920	13170	1129
921	13183	1115
922	13196	1100
923	13214	1086
924	13227	1072
925	13244	1058
926	13258	1044
927	13272	1029
928	13286	1015
929	13299	1001
930	13314	986
931	13327	972
932	13341	958
933	13355	943
934	13368	929
935	13381	914
936	13395	900
937	13409	886
938	13422	871
939	13436	857
940	13451	843
941	13464	829
942	13477	814
943	13490	800
944	13503	785
945	13518	771
946	13532	757
947	13547	743
948	13567	729
949	13581	714
950	13595	700
951	13608	686
952	13623	671
953	13638	657
954	13652	643
955	13667	629
956	13680	614
957	13694	600
958	13712	586
959	13730	572
960	13744	557
961	13767	543
962	13780	529
963	13793	515
964	13807	500
965	13820	486
966	13833	472
967	13846	457
968	13860	443
969	13875	429
970	13890	414
971	13910	400
972	13924	386
973	13937	372
974	13950	357
975	13963	343
976	13976	329
977	13990	314
978	14004	300
979	14018	286
980	14032	271
981	14045	257
982	14058	243
983	14071	228
984	14084	214
985	14097	200
986	14110	185
987	14124	171
988	14144	157
989	14157	143
990	14171	128
991	14184	114
992	14198	100
993	14212	85
994	14229	71
995	14244	57
996	14258	42
997	14272	28
998	14285	14
999	14299	0
