iter	MultiClass
182	0.218075654
183	0.2179250845
184	0.2176505511
185	0.2170886331
186	0.2168185208
187	0.2165237519
188	0.2164030523
189	0.2161988279
190	0.21596223
191	0.2158324031
192	0.2155530524
193	0.2151179823
194	0.2143568949
195	0.2142187963
196	0.2138722582
197	0.2136606021
198	0.2134868973
199	0.2129993291
200	0.2126291646
201	0.2125502353
202	0.212416526
203	0.2121592965
204	0.2119566726
205	0.2116374532
206	0.2115048374
207	0.2112632321
208	0.2111228041
209	0.2109669103
210	0.2108230279
211	0.2105372279
212	0.2102931031
213	0.2101673169
214	0.2099754525
215	0.2095418561
216	0.2093154314
217	0.2091912298
218	0.2090806241
219	0.2089018169
220	0.2081818342
221	0.208006624
222	0.2078361043
223	0.2076861845
224	0.2075187706
225	0.207161996
226	0.2069722392
227	0.206613056
228	0.2065130038
229	0.2062001546
230	0.2061076451
231	0.2059493269
232	0.2058099923
233	0.2056704041
234	0.2055214192
235	0.2054041899
236	0.2052288688
237	0.2050657651
238	0.2049989263
239	0.2048589737
240	0.2046687256
241	0.2044059816
242	0.2042358105
243	0.2041130826
244	0.2037977138
245	0.2033556873
246	0.2031519067
247	0.2030709332
248	0.2028941859
249	0.2027129384
250	0.2021737279
251	0.202090013
252	0.2020157582
253	0.2018759165
254	0.2018039436
255	0.2016521698
256	0.2014142092
257	0.2013158367
258	0.2007621745
259	0.2006587946
260	0.200338466
261	0.200191145
262	0.2000101193
263	0.1998760139
264	0.1996154092
265	0.1995220916
266	0.1994191713
267	0.1992510919
268	0.1991178421
269	0.1986159491
270	0.1984928409
271	0.1983667694
272	0.1982901061
273	0.1981668869
274	0.1980434142
275	0.1979661646
276	0.197885508
277	0.197680317
278	0.1974080971
279	0.1973243664
280	0.196740565
281	0.1964829869
282	0.1962904728
283	0.1961952695
284	0.1961085914
285	0.19597737
286	0.195828607
287	0.1957198078
288	0.1956373447
289	0.195570395
290	0.1954204118
291	0.1952933579
292	0.1952260438
293	0.1951426775
294	0.195047807
295	0.1949733146
296	0.194875053
297	0.194758711
298	0.1946104709
299	0.1945187696
300	0.1944695992
301	0.1943969132
302	0.1942829165
303	0.1941645304
304	0.194114124
305	0.193992537
306	0.1939131164
307	0.1938001338
308	0.1937253086
309	0.1935498132
310	0.193203402
311	0.1931145688
312	0.1929874674
313	0.1929337333
314	0.1928549941
315	0.1927985821
316	0.1926687393
317	0.1925730131
318	0.1922855651
319	0.1920593781
320	0.1919758375
321	0.1918976371
322	0.191849053
323	0.1917851299
324	0.1915629836
325	0.191470902
326	0.1913766337
327	0.1912067003
328	0.1911314789
329	0.1910166106
330	0.1909483457
331	0.1907734366
332	0.1906719741
333	0.190568927
334	0.1904609677
335	0.1903687435
336	0.1898212454
337	0.1897174218
338	0.1896465265
339	0.1895158913
340	0.1892036601
341	0.1889946027
342	0.1886351184
343	0.1882152764
344	0.1881570104
345	0.1880903142
346	0.1880398127
347	0.1879334221
348	0.1877445368
349	0.1876354682
350	0.1875750312
351	0.1874192642
352	0.1871962306
353	0.1869463695
354	0.1868508651
355	0.186768418
356	0.1866734048
357	0.1864465523
358	0.1863698256
359	0.1862753354
360	0.1861749187
361	0.1861012027
362	0.1860424771
363	0.1859559258
364	0.1858408674
365	0.1857710337
366	0.1856726295
367	0.1855237239
368	0.1854622252
369	0.1854182048
370	0.1853643756
371	0.1852591735
372	0.1850089797
373	0.1849692852
374	0.1849106072
375	0.1848183988
376	0.1846930246
377	0.1846296719
378	0.1845618032
379	0.1845181472
380	0.1844535427
381	0.1843381991
382	0.1842995346
383	0.1842273874
384	0.1841615944
385	0.1841133907
386	0.1840387873
387	0.1839634708
388	0.1836124801
389	0.1835636583
390	0.1834985467
391	0.1833878618
392	0.1833477712
393	0.1832594927
394	0.1831810387
395	0.1831162124
396	0.1830581999
397	0.1829776225
398	0.1828635307
399	0.1826625231
400	0.1824626723
401	0.1824235959
402	0.1821450534
403	0.1818347237
404	0.1817645414
405	0.1816912215
406	0.1815929758
407	0.1815361835
408	0.181461073
409	0.1814181301
410	0.1813193298
411	0.1812171384
412	0.1807281599
413	0.1806960082
414	0.1806217059
415	0.1805721077
416	0.1804854296
417	0.1804328523
418	0.180365855
419	0.1802963541
420	0.1802571192
421	0.1802156817
422	0.1800030748
423	0.1799065404
424	0.1797470654
425	0.1796779448
426	0.1796086816
427	0.1795416209
428	0.1794554499
429	0.1794083078
430	0.1793218991
431	0.1791096091
432	0.1790769028
433	0.1790300143
434	0.178941292
435	0.1788313202
436	0.1787512341
437	0.1787082595
438	0.1786796573
439	0.1786351774
440	0.1785867993
441	0.1785447438
442	0.1784391771
443	0.1783672993
444	0.1783283021
445	0.1782311814
446	0.1780774427
447	0.1778875433
448	0.1778155545
449	0.1776247359
450	0.1773911963
451	0.1772913502
452	0.1772761855
453	0.1771884298
454	0.1769632411
455	0.1768891607
456	0.1768420027
457	0.1767844656
458	0.1766832567
459	0.1765569951
460	0.1764734704
461	0.1764312564
462	0.1763942716
463	0.1763473514
464	0.17626492
465	0.1761862918
466	0.1761387694
467	0.1760282112
468	0.1757839755
469	0.1757406999
470	0.1755386306
471	0.1753826893
472	0.1752401379
473	0.1751280902
474	0.1750893941
475	0.1750252016
476	0.1749231845
477	0.1747313835
478	0.1746351661
479	0.1742888974
480	0.1742560485
481	0.1742101583
482	0.1740565146
483	0.1739766345
484	0.1737213065
485	0.1736897411
486	0.1736312849
487	0.1735719097
488	0.1735209803
489	0.1734883533
490	0.1734655824
491	0.1733997895
492	0.1733301776
493	0.1732542274
494	0.1731872618
495	0.1731504989
496	0.1730977156
497	0.1730036849
498	0.1729331857
499	0.1728684386
500	0.1726747202
501	0.172640049
502	0.1725858554
503	0.1725406465
504	0.1724816357
505	0.1724233062
506	0.1723801256
507	0.1723093095
508	0.1722781561
509	0.1722422805
510	0.1722142964
511	0.1721338616
512	0.1719958739
513	0.1719064703
514	0.1718374289
515	0.1716402561
516	0.1715998169
517	0.1714860895
518	0.1714337182
519	0.1711663631
520	0.1711361446
521	0.1710574688
522	0.170981265
523	0.1709097833
524	0.1708654143
525	0.1707167621
526	0.1706357728
527	0.1705615497
528	0.1704861541
529	0.1704380771
530	0.1703881619
531	0.1703488636
532	0.1702938143
533	0.1702249314
534	0.170175143
535	0.170141993
536	0.1700943279
537	0.1700429549
538	0.1699781128
539	0.1699399078
540	0.1698104295
541	0.1697432104
542	0.1696977955
543	0.1696664837
544	0.1696052227
545	0.1695023024
546	0.1693402286
547	0.1693016909
548	0.1692601425
549	0.16917001
550	0.1691034723
551	0.1688464488
552	0.1688236938
553	0.1687237684
554	0.1686799857
555	0.1686475804
556	0.1684659526
557	0.1684161325
558	0.1683204538
559	0.1682687481
560	0.1682130174
561	0.1681677451
562	0.1681510592
563	0.1681126324
564	0.1680596114
565	0.1679964331
566	0.1679806187
567	0.1679617302
568	0.1679191201
569	0.1678251211
570	0.1677485211
571	0.1676533495
572	0.1675462775
573	0.1674840975
574	0.1674035519
575	0.1672726632
576	0.1672051272
577	0.1671691249
578	0.1671188294
579	0.1670738107
580	0.1669966719
581	0.166904622
582	0.1668675739
583	0.1668223967
584	0.166796425
585	0.1667377628
586	0.1667002709
587	0.1666125153
588	0.1665622991
589	0.1665008321
590	0.1664478111
591	0.1662772597
592	0.1662340316
593	0.1661910253
594	0.1660890241
595	0.1660026154
596	0.1659345247
597	0.1659155728
598	0.1659027375
599	0.1658364058
600	0.1656561566
601	0.1653679638
602	0.1653431013
603	0.1652811907
604	0.1652462659
605	0.1651951306
606	0.1651520292
607	0.1651320949
608	0.1650812289
609	0.1650425011
610	0.1649145915
611	0.1647361804
612	0.1646951232
613	0.1646431798
614	0.1645916008
615	0.1645503534
616	0.1645049227
617	0.1644779685
618	0.164421905
619	0.1643684404
620	0.1643323747
621	0.1642969904
622	0.1642494521
623	0.1642219908
624	0.1641610468
625	0.1640835119
626	0.1640442453
627	0.1639894812
628	0.1639087137
629	0.1638538388
630	0.1638069502
631	0.163718941
632	0.1636462392
633	0.1635987802
634	0.1634977772
635	0.1633731319
636	0.1633365275
637	0.1632858042
638	0.1632532246
639	0.1631764028
640	0.1631372154
641	0.1631001514
642	0.1630426935
643	0.1629967874
644	0.1628820459
645	0.1628372015
646	0.1627960334
647	0.1627620594
648	0.1627297651
649	0.1627089908
650	0.1626608663
651	0.1625822855
652	0.1625444609
653	0.1624653098
654	0.1624349328
655	0.1623833221
656	0.162355227
657	0.1622834125
658	0.1622443044
659	0.1622122953
660	0.1621686077
661	0.1621383892
662	0.1620934497
663	0.1619942373
664	0.1619384908
665	0.1618972435
666	0.1618400708
667	0.1617766072
668	0.1617367702
669	0.1617136032
670	0.1616445301
671	0.1616122992
672	0.1615868345
673	0.1615490891
674	0.1615093472
675	0.1613489056
676	0.1612947436
677	0.1611870695
678	0.1610986008
679	0.1610516489
680	0.1609944603
681	0.1609575073
682	0.1609292537
683	0.1608734279
684	0.1608012807
685	0.1607477526
686	0.1606916734
687	0.1606146297
688	0.1605920173
689	0.1605627021
690	0.1603975383
691	0.1603542944
692	0.1603166916
693	0.1602921777
694	0.1602555257
695	0.1602239286
696	0.1601888612
697	0.1601524152
698	0.1599677767
699	0.1599099385
700	0.1598719871
701	0.1598351291
702	0.1597535535
703	0.1597018001
704	0.1596486999
705	0.1596150587
706	0.1595774242
707	0.1595571571
708	0.1595427371
709	0.1594170143
710	0.1593629316
711	0.1593130798
712	0.1592700736
713	0.1592031714
714	0.1591806383
715	0.1591060349
716	0.1589957462
717	0.1589547365
718	0.1589249934
719	0.158856776
720	0.1588322146
721	0.158776468
722	0.1586750689
723	0.1586018125
724	0.158502204
725	0.1584464258
726	0.158381441
727	0.1582886622
728	0.1582336763
729	0.1581918109
730	0.1581344322
731	0.158104705
732	0.1580582442
733	0.1579762408
734	0.1579323313
735	0.1578580131
736	0.1578055626
737	0.1577673894
738	0.1576562925
739	0.1575859517
740	0.1574869295
741	0.1574188072
742	0.1573439661
743	0.1573228433
744	0.1572802332
745	0.1572401267
746	0.1572039501
747	0.1571494555
748	0.1570874497
749	0.1570620009
750	0.1569919929
751	0.1569506663
752	0.1569082305
753	0.1568758728
754	0.1568068156
755	0.1567769932
756	0.1567163661
757	0.1566641533
758	0.1566447418
759	0.1566032092
760	0.1565607259
761	0.1565295408
762	0.1564781361
763	0.156432642
764	0.1563891128
765	0.1563533165
766	0.156311768
767	0.1562400962
768	0.1561778845
769	0.1561204266
770	0.1560957701
771	0.1560085691
772	0.155877823
773	0.1558244376
774	0.1557843153
775	0.1557551426
776	0.1556870045
